2021-07-15 14:53:03,051 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).complan_site(803) - <ошибка> 'comfex'
2021-07-15 14:53:03,051 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:53:20,422 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:53:26,971 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(312) - <сайт не отвечает> <Response [404]>
2021-07-15 14:53:26,985 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(347) - <ошибка> list index out of range
2021-07-15 14:53:26,985 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:53:27,970 - [WARNING] -  __main__ - (get_inn.py).etp_identification(221) - ошибка <срока контракта>,0816500000621007929, list index out of range
2021-07-15 14:53:43,249 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:53:49,516 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(261) - <сайт не отвечает> <Response [404]>
2021-07-15 14:53:49,532 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(296) - <ошибка> 'NoneType' object has no attribute 'get_text'
2021-07-15 14:53:51,791 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(261) - <сайт не отвечает> <Response [404]>
2021-07-15 14:53:51,807 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(296) - <ошибка> 'NoneType' object has no attribute 'get_text'
2021-07-15 14:53:55,084 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(312) - <сайт не отвечает> <Response [404]>
2021-07-15 14:53:55,098 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(347) - <ошибка> list index out of range
2021-07-15 14:53:55,099 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:54:13,035 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:54:16,224 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(312) - <сайт не отвечает> <Response [404]>
2021-07-15 14:54:16,237 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(347) - <ошибка> list index out of range
2021-07-15 14:54:16,238 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:54:40,322 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(261) - <сайт не отвечает> <Response [404]>
2021-07-15 14:54:40,341 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(296) - <ошибка> 'NoneType' object has no attribute 'get_text'
